sample_id,donor,stimulus,time
SRR12291332,A,caur_KTClive,4h
SRR12291333,A,caur_KTCman,4h
SRR12291338,B,RPMI,4h
SRR12291342,B,RPMI,24h
SRR12291347,B,caur_KTCman,4h
SRR12291350,B,caur_KTCman,24h
SRR12291324,A,RPMI,4h
SRR12291328,A,RPMI,24h
SRR12291335,A,caur_KTClive,24h
SRR12291348,B,caur_KTCbg,4h
SRR12291349,B,caur_KTClive,24h
SRR12291352,C,RPMI,4h
SRR12291363,C,caur_KTClive,24h
SRR12291365,C,caur_KTCbg,24h
SRR12291334,A,caur_KTCbg,4h
SRR12291336,A,caur_KTCman,24h
SRR12291337,A,caur_KTCbg,24h
SRR12291346,B,caur_KTClive,4h
SRR12291351,B,caur_KTCbg,24h
SRR12291356,C,RPMI,24h
SRR12291360,C,caur_KTClive,4h
SRR12291361,C,caur_KTCman,4h
SRR12291362,C,caur_KTCbg,4h
SRR12291364,C,caur_KTCman,24h
