gene_id	gene_name	gene_type	Chr	Strand
ENSG00000290825.2	DDX11L16	lncRNA	chr1	+
ENSG00000223972.6	DDX11L1	transcribed_unprocessed_pseudogene	chr1	+
ENSG00000310526.1	WASH7P	lncRNA	chr1	-
ENSG00000227232.6	WASH7P	transcribed_unprocessed_pseudogene	chr1	-
ENSG00000278267.1	MIR6859-1	miRNA	chr1	-
ENSG00000243485.6	MIR1302-2HG	lncRNA	chr1	+
ENSG00000284332.1	MIR1302-2	miRNA	chr1	+
ENSG00000237613.3	FAM138A	lncRNA	chr1	-
ENSG00000308361.1	ENSG00000308361	lncRNA	chr1	+
ENSG00000290826.2	ENSG00000290826	lncRNA	chr1	+
ENSG00000268020.3	OR4G4P	transcribed_unprocessed_pseudogene	chr1	+
ENSG00000240361.3	OR4G11P	transcribed_unprocessed_pseudogene	chr1	+
ENSG00000186092.7	OR4F5	protein_coding	chr1	+
ENSG00000241860.8	ENSG00000241860	lncRNA	chr1	-
ENSG00000239945.1	ENSG00000239945	lncRNA	chr1	-
ENSG00000308314.1	ENSG00000308314	lncRNA	chr1	+
ENSG00000233750.3	CICP27	processed_pseudogene	chr1	+
ENSG00000308579.1	ENSG00000308579	lncRNA	chr1	-
ENSG00000268903.1	ENSG00000268903	transcribed_processed_pseudogene	chr1	-
ENSG00000269981.1	ENSG00000269981	transcribed_processed_pseudogene	chr1	-
ENSG00000239906.1	ENSG00000239906	lncRNA	chr1	-
ENSG00000310528.1	ENSG00000310528	lncRNA	chr1	-
ENSG00000222623.1	RNU6-1100P	snRNA	chr1	-
ENSG00000241599.1	ENSG00000241599	lncRNA	chr1	+
ENSG00000308415.1	DDX11L2	lncRNA	chr1	+
ENSG00000310527.1	WASH9P	lncRNA	chr1	-
ENSG00000279928.2	DDX11L17	transcribed_unprocessed_pseudogene	chr1	+
ENSG00000279457.4	WASH9P	transcribed_unprocessed_pseudogene	chr1	-
ENSG00000273874.1	MIR6859-2	miRNA	chr1	-
ENSG00000308625.1	ENSG00000308625	lncRNA	chr1	+
ENSG00000308544.1	ENSG00000308544	lncRNA	chr1	+
ENSG00000292994.2	ENSG00000292994	lncRNA	chr1	-
ENSG00000228463.11	ENSG00000228463	transcribed_processed_pseudogene	chr1	-
ENSG00000306775.1	ENSG00000306775	lncRNA	chr1	+
ENSG00000286448.2	ENSG00000286448	lncRNA	chr1	+
ENSG00000236679.2	RPL23AP24	transcribed_processed_pseudogene	chr1	-
ENSG00000236601.3	ENSG00000236601	lncRNA	chr1	+
ENSG00000290385.2	ENSG00000290385	lncRNA	chr1	-
ENSG00000269732.1	WBP1LP7	processed_pseudogene	chr1	+
ENSG00000284733.2	OR4F29	protein_coding	chr1	-
ENSG00000237094.13	ENSG00000237094	transcribed_unprocessed_pseudogene	chr1	-
ENSG00000233653.3	CICP7	transcribed_processed_pseudogene	chr1	+
ENSG00000250575.1	ENSG00000250575	unprocessed_pseudogene	chr1	-
ENSG00000278757.1	U6	snRNA	chr1	-
ENSG00000293331.2	ENSG00000293331	lncRNA	chr1	-
ENSG00000225880.7	LINC00115	lncRNA	chr1	-
ENSG00000235146.3	ENSG00000235146	lncRNA	chr1	+
ENSG00000225972.1	MTND1P23	unprocessed_pseudogene	chr1	+
ENSG00000225630.1	MTND2P28	unprocessed_pseudogene	chr1	+
ENSG00000237973.1	MTCO1P12	unprocessed_pseudogene	chr1	+
ENSG00000278791.1	ENSG00000278791	miRNA	chr1	-
ENSG00000229344.1	MTCO2P12	unprocessed_pseudogene	chr1	+
ENSG00000240409.1	MTATP8P1	unprocessed_pseudogene	chr1	+
ENSG00000248527.1	MTATP6P1	unprocessed_pseudogene	chr1	+
ENSG00000198744.5	MTCO3P12	unprocessed_pseudogene	chr1	+
ENSG00000268663.1	WBP1LP6	processed_pseudogene	chr1	+
ENSG00000284662.2	OR4F16	protein_coding	chr1	-
ENSG00000230021.11	ENSG00000230021	transcribed_processed_pseudogene	chr1	-
ENSG00000229376.3	CICP3	processed_pseudogene	chr1	+
ENSG00000223181.1	RNU6-1199P	snRNA	chr1	-
ENSG00000229905.1	ENSG00000229905	lncRNA	chr1	+
ENSG00000228327.6	ENSG00000228327	transcribed_unprocessed_pseudogene	chr1	-
ENSG00000237491.11	LINC01409	lncRNA	chr1	+
ENSG00000285268.1	ENSG00000285268	transcribed_processed_pseudogene	chr1	+
ENSG00000230092.8	ENSG00000230092	transcribed_unprocessed_pseudogene	chr1	-
ENSG00000177757.3	FAM87B	lncRNA	chr1	+
ENSG00000228794.13	LINC01128	lncRNA	chr1	+
ENSG00000297178.1	ENSG00000297178	lncRNA	chr1	-
ENSG00000297224.1	ENSG00000297224	lncRNA	chr1	-
ENSG00000230368.3	FAM41C	lncRNA	chr1	-
ENSG00000234711.1	TUBB8P11	unprocessed_pseudogene	chr1	+
ENSG00000283040.1	ENSG00000283040	transcribed_unprocessed_pseudogene	chr1	-
ENSG00000296088.1	ENSG00000296088	lncRNA	chr1	+
ENSG00000272438.2	ENSG00000272438	lncRNA	chr1	+
ENSG00000298603.1	ENSG00000298603	lncRNA	chr1	-
ENSG00000223764.3	LINC02593	lncRNA	chr1	-
ENSG00000187634.13	SAMD11	protein_coding	chr1	+
ENSG00000188976.11	NOC2L	protein_coding	chr1	-
ENSG00000187961.15	KLHL17	protein_coding	chr1	+
ENSG00000187583.11	PLEKHN1	protein_coding	chr1	+
ENSG00000187642.10	PERM1	protein_coding	chr1	-
ENSG00000303599.1	ENSG00000303599	lncRNA	chr1	+
ENSG00000272512.1	ENSG00000272512	lncRNA	chr1	-
ENSG00000188290.11	HES4	protein_coding	chr1	-
ENSG00000303623.1	ENSG00000303623	lncRNA	chr1	+
ENSG00000187608.10	ISG15	protein_coding	chr1	+
ENSG00000303614.1	ENSG00000303614	lncRNA	chr1	-
ENSG00000231702.2	ENSG00000231702	processed_pseudogene	chr1	-
ENSG00000224969.1	ENSG00000224969	lncRNA	chr1	-
ENSG00000188157.16	AGRN	protein_coding	chr1	+
ENSG00000242590.1	ENSG00000242590	lncRNA	chr1	+
ENSG00000291156.2	ENSG00000291156	lncRNA	chr1	+
ENSG00000273443.2	ENSG00000273443	lncRNA	chr1	-
ENSG00000217801.13	ENSG00000217801	transcribed_unprocessed_pseudogene	chr1	+
ENSG00000304119.1	ENSG00000304119	lncRNA	chr1	-
ENSG00000304169.1	ENSG00000304169	lncRNA	chr1	+
ENSG00000237330.3	RNF223	protein_coding	chr1	-
ENSG00000131591.18	C1orf159	protein_coding	chr1	-
ENSG00000285812.1	ENSG00000285812	lncRNA	chr1	+
ENSG00000299943.1	ENSG00000299943	lncRNA	chr1	-
ENSG00000223823.1	LINC01342	lncRNA	chr1	+
ENSG00000304965.1	ENSG00000304965	lncRNA	chr1	-
ENSG00000207730.3	MIR200B	miRNA	chr1	+
ENSG00000207607.3	MIR200A	miRNA	chr1	+
ENSG00000198976.1	MIR429	miRNA	chr1	+
ENSG00000272141.1	ENSG00000272141	lncRNA	chr1	+
ENSG00000205231.1	TTLL10-AS1	lncRNA	chr1	-
ENSG00000162571.14	TTLL10	protein_coding	chr1	+
ENSG00000186891.14	TNFRSF18	protein_coding	chr1	-
ENSG00000186827.12	TNFRSF4	protein_coding	chr1	-
ENSG00000078808.20	SDF4	protein_coding	chr1	-
ENSG00000176022.7	B3GALT6	protein_coding	chr1	+
ENSG00000184163.3	C1QTNF12	protein_coding	chr1	-
ENSG00000260179.1	ENSG00000260179	lncRNA	chr1	-
ENSG00000160087.21	UBE2J2	protein_coding	chr1	-
